ID,ID Item,Description,Nhà sản xuất,Unit Price,Unit Price VND,Giá vốn,Chênh lệch Giá vốn,Tổng nhập,Tổng xuất,Tổng tồn,Nhà cung cấp,Year,Month,Day,Giá mặc cả,Giá mặc cả USD,Giá vốn mới,Chênh lệch Giá vốn
16400-0L150,RADIATOR ASSY,,FOB SEPTEMBER,177.82,4822478,5351154,-9.88%,1,1,,HTAUTOHN,2022,February,24,4930000,181.78,4362832,-9.88%
31210-26172,"COVER ASSY, CLUTCH",,FOB SEPTEMBER,142.71,3870295,1971022,96.36%,15,18,5,NK-TS,2021,December,18,1632979,60.21,1445114,96.36%
13011-13110,"RING SET, PISTON",,FOB SEPTEMBER,91.58,2483650,1500443,65.53%,1,8,0,CHPT-MINHANH,2022,September,8,1425421,52.56,1261434,65.53%
13011-0L070,"RING SET, PISTON",,FOB SEPTEMBER,60.00,1627200,1418217,14.74%,5,17,12,NK-IDAS,2022,July,26,1232349,45.44,1090574,14.74%
31210-0K190,"COVER ASSY, CLUTCH",,FOB SEPTEMBER,57.18,1550722,1348361,15.01%,100,175,28,NK-IDAM,2021,August,4,1185908,43.73,1049476,15.01%
04465-YZZR5-82,BRAKE PAD,,FOB SEPTEMBER,42.81,1161007,1158180,0.24%,8,35,4,CHPT-MINHANH,2022,June,27,1130000,41.67,1000000,0.24%
31250-0K301,"DISC ASSY, CLUTCH",,FOB SEPTEMBER,52.78,1431394,1245443,14.93%,3,456,4,NK-IDAS,2022,July,26,1083922,39.97,959223,14.93%
13011-0L030,"RING SET, PISTON",,FOB SEPTEMBER,44.72,1212806,1131365,7.20%,4,14,8,NK-IDAM,2022,July,22,1076864,39.71,952977,7.20%
04466-0K010,"PAD KIT, DISC BRAKE L/FITTING ,RR",,FOB SEPTEMBER,41.32,1120598,1144851,-2.12%,1,2,,CHPT-MINHANH,2022,May,18,1060000,39.09,938053,-2.12%
04465-28520,"PAD KIT, DISC BRAKE",,FOB SEPTEMBER,95.79,2597825,1162694,123.43%,1,1,,NCC-KHANGTHANG,2021,October,28,1026000,37.83,907965,123.43%
04465-YZZR7,BRAKE PAD,,FOB SEPTEMBER,55.26,1498651,1130270,32.59%,30,33,0,NK-TS,2022,February,26,926737,34.17,820122,32.59%
04465-YZZQ7,BRAKE PAD,,FOB SEPTEMBER,40.81,1106767,961003,15.17%,200,1324,152,HTAUTOHN,2022,September,14,912953,33.66,807923,15.17%
48510-BZ740,"ABSORBER ASSY,FR RH",,FOB SEPTEMBER,44.72,1212806,951199,27.50%,5,5,,NK-IDAS,2022,April,5,861356,31.76,762262,27.50%
13011-0L020,"RING SET, PISTON",,FOB SEPTEMBER,35.41,960319,858189,11.90%,10,90,40,NK-IDAM,2022,May,10,753378,27.78,666706,11.90%
45503-0K040,END SA STEERING RACK,,FOB SEPTEMBER,37.97,1029746,782646,31.57%,20,22,,NK-IDAS,2022,August,19,743514,27.42,657977,31.57%
31250-0B021,"DISC ASSY, CLUTCH",,FOB SEPTEMBER,35.43,960862,829088,15.89%,20,167,9,NK-IDAS,2022,August,19,726679,26.79,643079,15.89%
04465-YZZR6,MVP BRAKE PAD,,FOB SEPTEMBER,52.97,1436546,970216,48.06%,2,27,7,NK-TS,2022,March,29,694331,25.60,614452,48.06%
31250-0A011,"DISC ASSY, CLUTCH",,FOB SEPTEMBER,33.72,914486,778652,17.44%,180,948,159,NK-IDAS,2022,August,19,691629,25.50,612061,17.44%
27415-0L030,"PULLEY, ALTERNATOR W",,FOB SEPTEMBER,40.32,1093478,626478,74.54%,100,1160,231,HTAUTOHN,2022,September,14,595154,21.95,526685,74.54%
13568-39016,"BELT, TIMING",,FOB SEPTEMBER,31.07,842618,598350,40.82%,5,37,0,HTAUTOHN,2022,March,8,568433,20.96,503038,40.82%
13011-0C010,"RING SET, PISTON",,FOB SEPTEMBER,23.36,633523,573071,10.55%,50,1115,294,NK-IDAS,2022,July,26,544417,20.07,481785,10.55%
23390-51070,"ELEMENT ASSY, FUEL",,FOB SEPTEMBER,28.10,762072,532923,43.00%,2,2,,HTAUTOHN,2022,May,14,470250,17.34,416150,43.00%
17801-31120,"ELEMENT SUB-ASSY,",,FOB SEPTEMBER,22.97,622946,531859,17.13%,5,4,1,NCC-KHANGTHANG,2022,February,24,465500,17.16,411947,17.13%
04371-0K110,"SPIDER KIT, UNIVERSA",,FOB SEPTEMBER,29.81,808447,483221,67.30%,100,230,0,NK-TS,2022,February,26,399268,14.72,353334,67.30%
04495-YZZZ2,BRAKE SHOE,,FOB SEPTEMBER,16.32,442598,381996,15.86%,50,732,1,NK-IDAS,2022,July,26,362896,13.38,321147,15.86%
17801-0L050,ELEMENT SA AIRFILTER,,FOB SEPTEMBER,14.89,403817,373176,8.21%,1,175,17,NK-IDAM,2022,July,22,354518,13.07,313732,8.21%
48500-09020,ABSORBER A/S FR R/L,,FOB SEPTEMBER,14.47,392426,347360,12.97%,50,221,112,NK-IDAM,2022,September,12,329992,12.17,292028,12.97%
04465-YZZZ1,"PAD KIT, DISC BRK FR",,FOB SEPTEMBER,13.20,357984,316938,12.95%,20,101,45,NK-IDAS,2022,July,26,301091,11.10,266453,12.95%
48609-0K020,SUPPORT S/A FR SUSP,,FOB SEPTEMBER,12.41,336559,308389,9.13%,10,106,22,NK-IDAM,2022,July,22,281514,10.38,249127,9.13%
17801-YZZA1,ELEMENT SA AIRFILTER,,FOB SEPTEMBER,14.42,391070,313916,24.58%,400,410,302,NK-IDAM,2021,August,4,272996,10.07,241589,24.58%
43330-09110,JOINT ASSY LWR BALL,,FOB SEPTEMBER,13.68,371002,279835,32.58%,4,18,2,NK-IDAS,2022,July,26,265843,9.80,235260,32.58%
90916-T2028,"BELT, V-RIBBED",,FOB SEPTEMBER,26.80,726816,192804,276.97%,40,664,276,NCC-THAILAND,2022,May,31,153057,5.64,135449,276.97%
99332-51030,"BELT V, AC",,FOB SEPTEMBER,3.81,103327,88788,16.38%,140,317,165,NK-IDAM,2021,December,15,79396,2.93,70262,16.38%
90915-YZZZ2,OIL FILTER,,FOB SEPTEMBER,1.95,52884,45776,15.53%,20,478,2,NK-IDAM,2022,May,10,42317,1.56,37448,15.53%
90082-93003,BELT V (COOLING SYS),,FOB SEPTEMBER,1.47,39866,34727,14.80%,100,527,177,NK-IDAS,2022,July,26,30178,1.11,26706,14.80%
48510-8Z244,"ABSORBER SET, FR RH",,FOB SEPTEMBER,28.59,775361,678020,14.36%,2,3850,0,GIANGDAO,2022,September,9,0,0.00,0,14.36%
